date,open,high,low,close,volume
04/09/2019,38.1625,38.8472,38.1625,38.8186,1230580
05/09/2019,38.9898,39.4272,38.9898,39.1134,1274480
06/09/2019,39.0944,39.5319,39.0944,39.2846,1000794
09/09/2019,39.4368,39.5033,39.0754,39.3131,1544125
10/09/2019,39.2941,39.3702,38.3241,38.6189,1729395
11/09/2019,38.5048,38.7045,38.3717,38.5809,1421224
12/09/2019,38.7045,38.8139,38.4192,38.4573,1218542
13/09/2019,38.3622,38.5428,38.1434,38.4953,1036578
16/09/2019,38.3527,38.6665,38.2956,38.5714,928608
17/09/2019,38.5048,39.0849,38.4525,38.9518,2075548
18/09/2019,38.7996,38.9946,38.5286,38.9042,2003128
19/09/2019,39.0183,39.4605,38.9518,39.1229,991973
20/09/2019,39.1324,39.2228,38.7235,38.9898,1581469
23/09/2019,38.9993,39.2941,38.9137,39.0897,594855
24/09/2019,39.2371,39.6079,39.0552,39.3084,1567409
25/09/2019,39.3036,39.9693,39.2038,39.9122,1499305
26/09/2019,39.9408,40.3972,39.8362,40.2831,1334816
27/09/2019,40.4067,40.5898,39.7791,39.9883,1549610
30/09/2019,40.635,40.7633,39.8409,39.9218,2509407
01/10/2019,40.207,40.2356,39.3036,39.3987,1570102
02/10/2019,39.2941,39.3797,38.676,38.8472,1346949
03/10/2019,38.8472,39.1134,38.5333,39.1039,869246
04/10/2019,39.218,39.9455,39.218,39.8076,1144537
07/10/2019,39.9978,40.035,39.5604,39.5889,1406674
08/10/2019,39.4653,39.5889,38.7425,38.7711,1210312
09/10/2019,38.9042,39.3607,38.7521,39.142,1595120
10/10/2019,39.0564,39.4558,38.9993,39.142,914163
11/10/2019,39.2941,39.6697,39.1705,39.4558,1064076
14/10/2019,39.4463,39.6555,39.2466,39.5509,791218
15/10/2019,39.7125,39.8932,39.703,39.8457,937316
16/10/2019,39.646,39.9313,39.1895,39.9027,1159945
17/10/2019,40.0073,40.2356,39.7886,39.9408,1449106
18/10/2019,39.9883,40.3164,39.684,40.2356,1069606
21/10/2019,40.2166,40.6255,40.1785,40.5018,847310
22/10/2019,40.3782,40.4638,39.2656,39.3322,1286134
23/10/2019,39.3131,39.6079,39.1895,39.3607,1750972
24/10/2019,39.3702,39.6079,39.218,39.3607,1224307
25/10/2019,39.199,39.3075,38.7521,38.7996,1138597
28/10/2019,38.9423,39.3417,38.5714,38.7045,964770
29/10/2019,38.5143,39.2846,38.4763,39.0183,1107219
30/10/2019,39.2846,40.2261,38.9137,39.9503,1889669
31/10/2019,39.8267,40.1215,39.18,39.7125,1519906
01/11/2019,39.7696,39.7886,39.3226,39.7696,997220
04/11/2019,39.8267,39.9408,38.8472,38.9423,1109468
05/11/2019,38.9803,39.0469,38.2576,38.5524,2173640
06/11/2019,38.6379,39.3559,38.6379,39.2941,1471859
07/11/2019,39.2561,39.3797,38.4382,38.4763,1942823
08/11/2019,38.4763,38.6855,38.3346,38.5904,1129723
11/11/2019,38.4002,38.8472,38.4002,38.7901,903191
12/11/2019,38.6665,38.695,38.1877,38.5333,1143884
13/11/2019,38.3527,38.714,38.1529,38.5904,789935
14/11/2019,38.5809,38.7616,38.4763,38.6617,1144832
15/11/2019,38.714,38.7711,38.3954,38.6379,1479552
18/11/2019,38.6379,39.3417,38.5999,39.3322,1106924
19/11/2019,39.3702,39.7696,39.161,39.4653,1407081
20/11/2019,39.4653,39.703,38.9898,39.18,3552520
21/11/2019,39.199,39.3226,38.5904,38.5904,1638062
22/11/2019,38.4477,38.8947,38.3431,38.8376,1259455
25/11/2019,38.8757,39.2846,38.7901,39.18,1738484
26/11/2019,39.2561,40.1072,39.1188,40.0169,7021389
27/11/2019,39.9883,40.2166,39.6935,40.1595,1506070
29/11/2019,40.0929,40.131,39.8552,39.9122,1064290
02/12/2019,39.9503,40.0359,39.4748,39.4843,1490793
03/12/2019,39.3797,39.3797,38.4382,38.6284,2590637
04/12/2019,38.5904,39.3892,38.5904,39.0278,1333001
05/12/2019,39.0183,39.3702,38.9803,39.3036,745821
06/12/2019,39.4843,39.703,39.1324,39.142,1070408
09/12/2019,39.0564,39.5414,38.9518,39.4177,937881
10/12/2019,39.4558,39.5319,39.0516,39.142,843501
11/12/2019,39.0278,39.18,38.8281,39.0088,915109
12/12/2019,39.0374,39.6365,39.0374,39.6174,1226878
13/12/2019,39.5033,39.7125,39.2323,39.703,1350494
16/12/2019,39.7506,40.1024,39.5604,39.9978,1182991
17/12/2019,40.0929,40.5399,39.8314,40.5304,1343971
18/12/2019,40.5018,40.5779,40.1785,40.2641,1699660
19/12/2019,40.2831,40.3497,39.9883,40.3497,1031039
20/12/2019,40.4828,40.9108,40.3117,40.5779,1285091
23/12/2019,40.673,40.673,39.9122,40.0026,1428176
24/12/2019,40.0073,40.0882,39.7886,39.9503,220966
26/12/2019,39.8647,40.1215,39.7696,40.1119,410116
27/12/2019,40.0929,40.5304,39.9408,40.4733,775766
30/12/2019,40.4733,40.673,40.4448,40.635,837213
31/12/2019,40.6255,40.9155,40.616,40.7871,764588
02/01/2020,40.9013,41.2721,40.7776,41.2721,1377071
03/01/2020,41.0439,41.3577,40.9298,41.2246,784853
06/01/2020,41.2912,41.4718,41.101,41.3862,1270904
07/01/2020,41.4528,41.4623,41.0154,41.0439,1334752
08/01/2020,41.0059,41.158,40.5874,40.635,1285331
09/01/2020,40.7111,41.4909,40.673,41.4623,1326310
10/01/2020,41.5289,41.605,41.3387,41.3958,1409151
13/01/2020,41.3672,41.6287,41.1865,41.5479,928345
14/01/2020,41.5955,41.9283,41.3958,41.5289,1089260
15/01/2020,41.586,42.0377,41.4338,41.8903,695555
16/01/2020,42.0044,42.4038,42.0044,42.3753,1209531
17/01/2020,42.613,43.0409,42.4418,42.9554,1385955
21/01/2020,42.9744,43.1455,42.6891,42.9363,1081610
22/01/2020,43.0695,43.35,42.8698,43.2502,1277586
23/01/2020,43.0219,43.098,42.3753,43.0219,922677
24/01/2020,43.0219,43.2216,42.6701,42.7842,1131618
27/01/2020,42.0329,42.6796,41.8617,42.3657,969520
28/01/2020,42.575,42.8412,42.4608,42.4704,2173063
29/01/2020,42.575,42.6273,41.9568,41.9663,1448753
30/01/2020,41.7476,42.3372,41.41,42.2992,3521550
31/01/2020,42.2802,42.6605,41.9188,41.9949,2061944
